Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
6,Buns,Strawberry,Onions,Buns,bottled water,Blueberry,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pasta,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cauliflower,Milk,Bananas,cake bar,Chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pepsi,Carrot,Strawberry,ice cream,bread,Cherry,lemon,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,grapes,Cauliflower,curd,ice cream,yogurt,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tumeric Powder,Cauliflower,Milk,yogurt,Tea,cheese,frozen vegetables,mixed fruit juice,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,
2,Coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,Buns,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flour,Cauliflower,packaged fruit/vegetables,Milk,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Green Chilli,herbs,flour,shopping bags,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,butter,ice cream,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,flour,cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dragon Fruit,Cauliflower,frozen vegetables,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tea,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buns,Tumeric Powder,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,pastry,Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dragon Fruit,Spices,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mango,flour,Cauliflower,Milk,bread,bread,mixed fruit juice,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,curd,butter milk,Coca Cola,Chips,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,curd,ice cream,soda,Chips,waffles,cake bar,Chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,Garlic,Cherry,pet food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ice cream,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,cheese,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cauliflower,bottled water,waffles,Cherry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mango,Milk,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cauliflower,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cauliflower,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,soda,Mixed fruit juice,Spices,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,herbs,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,bread,Mango,flour,Apples,Tumeric Powder,Cauliflower,Milk,butter,curd,yogurt,sour cream,cheese,cheese,Garlic,frozen meals,Tomato,Potato,bread,sugar,Cherry,mixed fruit juice,Mixed fruit juice,waffles,,,,,,,,,
2,Buns,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,curd,Garlic,bread,Ladyfinger,cake bar,Coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
6,bread,flour,Milk,spread cheese,Ghee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pet food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,curd,salt,Garlic,Brocolli,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bread,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Green Chilli,berries,Tumeric Powder,Milk,ice cream,spread cheese,bread,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Carrot,Green Chilli,Apples,herbs,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bread,Strawberry,Milk,Ghee,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Mixed fruit juice,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,curd,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,bottled water,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Carrot,Red Chilli Powder,Cauliflower,Milk,Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Strawberry,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Red Chilli Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,butter,yogurt,bottled water,soda,Ginger,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Coca Cola,sugar,Coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pepsi,Cauliflower,yogurt,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,Tea,Milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pepsi,Carrot,Green Chilli,Milk,Buns,Ghee,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tea,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coconut Juice,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pepsi,soda,Paneer,shopping bags,soda,bread,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pepsi,Green Chilli,Strawberry,Cauliflower,Milk,butter milk,sour cream,Tea,cheese,Buns,Coconut Juice,Instant Noodles,,,,,,,,,,,,,,,,,,,,
2,Tea,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pepsi,cheese,Buns,soda,Tonic water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Beans,curd,Mixed fruit juice,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bread,Beans,flour,Onions,oil,baking powder,tea,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
3,ice cream,Buns,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,flour,berries,Tumeric Powder,Cauliflower,bottled water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Beans,Strawberry,Cauliflower,curd,ice cream,butter milk,Tea,Garlic,Buns,bread,tea,bottled water,,,,,,,,,,,,,,,,,,,,
3,Milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pepsi,Green Chilli,Tea,cheese,Buns,spices,Garlic,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,
9,bread,Pepsi,Tumeric Powder,butter,curd,cheese,Buns,Chips,Cookies,,,,,,,,,,,,,,,,,,,,,,,
4,Beans,Cauliflower,butter,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tumeric Powder,Tea,Instant Noodles,pickled vegetables,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tumeric Powder,herbs,Cauliflower,Milk,cheese,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,sour cream,bread,Ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Strawberry,Milk,curd,ice cream,yogurt,sour cream,ice cream,Buns,salt,sugar,Cherry,Ginger,Oranges,Red Chilli Powder,Sanitizer,napkins,,,,,,,,,,,,,,,,
7,Strawberry,curd,pastry,Ghee,sugar,Chocolate,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cauliflower,Milk,bottled water,soda,Tea,Mixed fruit juice,Red Bull Drink,napkins,,,,,,,,,,,,,,,,,,,,,,,,
3,Strawberry,Milk,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pepsi,oil,Sanitizer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,bread,Green Chilli,Buns,grapes,Red Chilli Powder,Milk,butter,ice cream,Potato,bottled water,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,
4,cheese,Buns,bottled water,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Garlic,Buns,soda,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bottleguard,Green Chilli,frozen vegetables,Cherry,Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Carrot,Cauliflower,sour cream,Buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pepsi,Apples,Milk,curd,yogurt,cheese,Buns,bottled water,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Apples,Cauliflower,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Red Chilli Powder,Cauliflower,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pepsi,Strawberry,flour,Cauliflower,Milk,yogurt,Buns,bottled water,soda,Chocolate,Paneer,,,,,,,,,,,,,,,,,,,,,
4,Red Chilli Powder,Milk,Pet Food,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Carrot,berries,Red Chilli Powder,Cauliflower,pastry,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Carrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pickled vegetables,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bread,Pepsi,butter,sour cream,Buns,Ghee,spices,,,,,,,,,,,,,,,,,,,,,,,,,
