item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
Mint Leaves,Wheat Flour,Cauliflower,Honey,Cabbage,Besan,Dals,Garlic,,,,
Rice,Honey,Coconut,Cauliflower,Jam,Spinach,Curd,Ginger,Biscuits,,,
Bell Peppers,Wheat Flour,Onions,Pomegranate,Cauliflower,Coffee Powder,Butter,Honey,,,,
Coriander,Green Chili,Fenugreek Leaves,Potato,Okra,,,,,,,
Guava,Mango,Paneer,Sugar,Tea Powder,Fenugreek Leaves,Papaya,Brinjal,Wheat Flour,Cauliflower,Butter,Chili Powder
Coriander,Bread,Dals,Rice,Banana,Coconut,Apple,Onions,Coffee Powder,Capsicum,Cauliflower,
Pomegranate,Papaya,Garlic,Biscuits,Capsicum,Orange,Dals,Mustard Seeds,Fenugreek Leaves,Yogurt,,
Bell Peppers,Turmeric Powder,Besan,Okra,Carrot,Banana,Coconut,Sugar,,,,
Banana,Coriander,Dals,Pickle,Brinjal,Cheese,,,,,,
Cabbage,Honey,Capsicum,Mango,Milk,Besan,Sooji,Lemon,,,,
Garlic,Chili Powder,Mustard Seeds,Yogurt,Cauliflower,Cumin Seeds,Wheat Flour,Sooji,Jam,Ginger,Coffee Powder,Salt
Spinach,Honey,Turmeric Powder,Semolina,Coffee Powder,Coconut,Bread,Cooking Oil,Bell Peppers,Biscuits,,
Spinach,Okra,Coconut,Mustard Seeds,Cheese,Milk,,,,,,
Coriander,Coconut,Beetroot,Mustard Seeds,Spinach,Sugar,,,,,,
Spinach,Guava,Fenugreek Leaves,Bell Peppers,Cumin Seeds,Honey,Turmeric Powder,Coffee Powder,,,,
Curd,Capsicum,Honey,Mustard Seeds,Coconut,Cabbage,Sooji,Wheat Flour,Semolina,Milk,Coriander,Jam
Cumin Seeds,Spinach,Curd,Rice,Mint Leaves,,,,,,,
Coriander,Paneer,Mint Leaves,Ginger,Bread,Curd,Capsicum,Besan,Papaya,Sooji,,
Capsicum,Ginger,Bell Peppers,Lemon,Salt,,,,,,,
Mustard Seeds,Banana,Salt,Garlic,Fenugreek Leaves,Cumin Seeds,Butter,Coriander,Honey,,,
Okra,Rice,Milk,Chili Powder,Mango,Honey,Papaya,Cabbage,Pickle,Tomato,Orange,Carrot
Cheese,Pickle,Papaya,Butter,Yogurt,Capsicum,Coriander,,,,,
Fenugreek Leaves,Honey,Mint Leaves,Tomato,Guava,Pickle,Tea Powder,Sooji,,,,
Wheat Flour,Butter,Rice,Papaya,Potato,Pickle,,,,,,
Rice,Cauliflower,Besan,Bread,Lassi,Potato,Cumin Seeds,,,,,
Mint Leaves,Pomegranate,Butter,Papaya,Biscuits,Bell Peppers,Lemon,Spinach,,,,
Chili Powder,Honey,Milk,Butter,Sooji,,,,,,,
Honey,Milk,Dals,Paneer,Mustard Seeds,Pickle,Rice,Wheat Flour,Spinach,Orange,Ginger,Potato
Spinach,Turmeric Powder,Besan,Milk,Ginger,Wheat Flour,Cauliflower,Coriander,,,,
Pomegranate,Lassi,Sooji,Turmeric Powder,Apple,Tomato,Coffee Powder,Fenugreek Leaves,Mango,Capsicum,Sugar,Mustard Seeds
Papaya,Garlic,Coconut,Cauliflower,Tamarind,Mango,,,,,,
Lemon,Jam,Okra,Spinach,Mango,Ginger,Biscuits,Paneer,Capsicum,Wheat Flour,Besan,Tamarind
Lemon,Paneer,Pomegranate,Yogurt,Mango,Papaya,,,,,,
Mint Leaves,Curd,Paneer,Salt,Coriander,,,,,,,
Fenugreek Leaves,Onions,Papaya,Potato,Mustard Seeds,Cheese,Coriander,Dals,Cabbage,Turmeric Powder,,
Garlic,Wheat Flour,Mint Leaves,Potato,Orange,Pickle,,,,,,
Brinjal,Coconut,Bell Peppers,Coffee Powder,Garlic,Orange,Lemon,,,,,
Butter,Chili Powder,Coffee Powder,Apple,Cauliflower,Coconut,Potato,Beetroot,,,,
Garlic,Bread,Cumin Seeds,Mango,Salt,Cheese,Potato,Besan,Lassi,Coconut,Honey,
Potato,Okra,Apple,Chili Powder,Butter,Salt,Carrot,Biscuits,Besan,Pickle,Cabbage,
Paneer,Capsicum,Banana,Yogurt,Salt,,,,,,,
Besan,Orange,Brinjal,Butter,Sooji,Turmeric Powder,Guava,Cheese,Potato,Mustard Seeds,Tea Powder,Milk
Milk,Papaya,Brinjal,Biscuits,Orange,Coconut,Cheese,Mint Leaves,Okra,,,
Green Chili,Cauliflower,Sugar,Paneer,Lassi,Semolina,Milk,Chili Powder,Banana,Okra,,
Rice,Apple,Coconut,Onions,Lemon,Ginger,Fenugreek Leaves,Milk,Cumin Seeds,Turmeric Powder,Lassi,
Carrot,Sooji,Mango,Cooking Oil,Okra,Bell Peppers,Butter,Lemon,Cauliflower,Spinach,Chili Powder,
Cooking Oil,Brinjal,Ginger,Tamarind,Cabbage,Cheese,Orange,Besan,Tomato,,,
Banana,Salt,Yogurt,Papaya,Onions,Cauliflower,Coconut,Okra,Wheat Flour,,,
Cabbage,Tomato,Mint Leaves,Pomegranate,Cheese,Mustard Seeds,Mango,Butter,Salt,Tea Powder,,
Brinjal,Bread,Bell Peppers,Cheese,Semolina,Paneer,Spinach,Salt,Tea Powder,Dals,,
Mustard Seeds,Jam,Potato,Green Chili,Sugar,Tamarind,Tomato,Beetroot,Lassi,Okra,Onions,Coriander
Cauliflower,Garlic,Lassi,Mustard Seeds,Yogurt,Onions,Bell Peppers,Sugar,Cabbage,,,
Guava,Tea Powder,Sooji,Milk,Coconut,Paneer,Apple,,,,,
Carrot,Garlic,Orange,Fenugreek Leaves,Cheese,Turmeric Powder,Coffee Powder,Sugar,,,,
Cheese,Mint Leaves,Okra,Rice,Tomato,Cabbage,Potato,Banana,Apple,,,
Mango,Bell Peppers,Spinach,Onions,Lemon,Tomato,Milk,Salt,Turmeric Powder,,,
Guava,Biscuits,Beetroot,Yogurt,Apple,,,,,,,
Cumin Seeds,Spinach,Ginger,Pickle,Cooking Oil,Dals,Butter,Lemon,,,,
Bell Peppers,Tamarind,Cabbage,Jam,Green Chili,Cheese,Beetroot,Orange,Bread,Mustard Seeds,Cauliflower,Okra
Semolina,Sugar,Green Chili,Ginger,Mango,Cumin Seeds,,,,,,
Paneer,Semolina,Honey,Capsicum,Apple,Turmeric Powder,Guava,Spinach,Coriander,Sugar,Cumin Seeds,Wheat Flour
Lemon,Apple,Brinjal,Pomegranate,Mango,Cauliflower,Fenugreek Leaves,Tomato,Cheese,Orange,Tea Powder,Curd
Okra,Apple,Dals,Coriander,Mustard Seeds,Pomegranate,Capsicum,Sugar,Lemon,Coffee Powder,,
Semolina,Yogurt,Pomegranate,Coconut,Tomato,,,,,,,
Lassi,Cumin Seeds,Fenugreek Leaves,Garlic,Butter,Cheese,Mustard Seeds,Orange,Brinjal,Tamarind,Pomegranate,
Papaya,Bread,Dals,Pomegranate,Lemon,Rice,,,,,,
Green Chili,Tamarind,Bell Peppers,Tomato,Turmeric Powder,Cheese,Pickle,Onions,Potato,Paneer,Coffee Powder,
Wheat Flour,Garlic,Fenugreek Leaves,Cheese,Jam,Banana,Rice,,,,,
Cheese,Lassi,Bread,Mint Leaves,Orange,Turmeric Powder,Cabbage,Coffee Powder,Rice,Tea Powder,,
Capsicum,Cauliflower,Turmeric Powder,Apple,Brinjal,,,,,,,
Ginger,Fenugreek Leaves,Capsicum,Okra,Potato,Spinach,Rice,Salt,Tomato,Carrot,Coconut,
Biscuits,Cheese,Carrot,Bell Peppers,Tamarind,Cabbage,Milk,Tea Powder,Honey,Butter,Chili Powder,
Banana,Yogurt,Guava,Green Chili,Ginger,Rice,,,,,,
Mint Leaves,Yogurt,Honey,Coconut,Turmeric Powder,Dals,,,,,,
Biscuits,Yogurt,Milk,Cooking Oil,Beetroot,Butter,Papaya,Potato,Curd,Capsicum,,
Sugar,Mint Leaves,Bell Peppers,Pomegranate,Cheese,Bread,Wheat Flour,,,,,
Spinach,Garlic,Brinjal,Apple,Mustard Seeds,Cabbage,Green Chili,Sooji,Honey,Cauliflower,Yogurt,
Lemon,Papaya,Turmeric Powder,Tomato,Coconut,Dals,Besan,Carrot,Garlic,Cumin Seeds,,
Wheat Flour,Cumin Seeds,Bread,Carrot,Okra,Besan,,,,,,
Jam,Coriander,Fenugreek Leaves,Papaya,Cheese,Salt,Besan,Ginger,Pomegranate,Biscuits,Sugar,Butter
Jam,Green Chili,Biscuits,Cooking Oil,Besan,Capsicum,Sugar,Curd,,,,
Banana,Potato,Milk,Mint Leaves,Mustard Seeds,Cooking Oil,Bell Peppers,,,,,
Butter,Turmeric Powder,Cheese,Orange,Cauliflower,Chili Powder,Papaya,Mustard Seeds,,,,
Green Chili,Cauliflower,Pomegranate,Curd,Mint Leaves,Banana,,,,,,
Sooji,Pickle,Brinjal,Cooking Oil,Capsicum,Yogurt,Garlic,,,,,
